time,open,high,low,close,tick_volume,spread,real_volume
2024-09-19 14:15:00,5788.0,5792.25,5788.0,5790.75,20,25,84
2024-09-19 14:20:00,5792.5,5792.75,5787.5,5788.0,15,25,19
2024-09-19 14:25:00,5790.0,5790.75,5789.75,5790.5,6,25,7
2024-09-19 14:30:00,5790.75,5793.0,5790.75,5792.5,22,25,58
2024-09-19 14:35:00,5792.75,5794.5,5791.5,5794.5,34,25,124
2024-09-19 14:40:00,5794.75,5797.5,5794.0,5797.25,52,25,160
2024-09-19 14:45:00,5798.0,5800.5,5796.75,5798.0,60,25,454
2024-09-19 14:50:00,5798.0,5800.75,5797.0,5800.25,37,25,145
2024-09-19 14:55:00,5800.25,5800.25,5797.25,5798.5,29,25,249
2024-09-19 15:00:00,5798.5,5799.0,5797.75,5799.0,16,25,42
2024-09-19 15:05:00,5800.0,5800.0,5794.25,5794.25,27,25,51
2024-09-19 15:10:00,5793.5,5793.5,5791.0,5791.5,24,25,39
2024-09-19 15:15:00,5790.0,5790.0,5781.0,5784.0,53,25,261
2024-09-19 15:20:00,5786.75,5789.0,5784.75,5789.0,15,25,28
2024-09-19 15:25:00,5786.5,5792.5,5785.5,5792.0,24,25,94
2024-09-19 15:30:00,5792.25,5792.5,5790.0,5790.25,17,25,66
2024-09-19 15:35:00,5790.5,5794.5,5790.0,5794.25,28,25,47
2024-09-19 15:40:00,5793.5,5794.25,5792.5,5793.0,18,25,175
2024-09-19 15:45:00,5791.75,5793.0,5787.5,5787.5,23,25,59
2024-09-19 15:50:00,5787.0,5788.25,5783.5,5787.5,43,25,369
2024-09-19 15:55:00,5786.0,5791.0,5786.0,5791.0,16,25,29
2024-09-19 16:00:00,5790.75,5792.5,5787.0,5792.5,23,25,70
2024-09-19 16:05:00,5791.75,5791.75,5789.0,5789.75,12,25,28
2024-09-19 16:10:00,5788.75,5788.75,5786.25,5786.25,9,25,11
2024-09-19 16:15:00,5785.0,5787.25,5784.0,5784.0,7,25,21
2024-09-19 16:20:00,5784.0,5788.25,5779.75,5788.0,28,25,68
2024-09-19 16:25:00,5786.5,5786.5,5781.0,5784.0,12,25,64
2024-09-19 16:30:00,5782.5,5782.5,5778.25,5780.0,14,25,60
2024-09-19 16:35:00,5783.5,5785.75,5782.75,5785.75,26,25,118
2024-09-19 16:40:00,5786.5,5788.25,5781.75,5782.75,28,25,87
2024-09-19 16:45:00,5786.0,5788.5,5786.0,5788.5,21,25,533
2024-09-19 16:50:00,5785.5,5785.5,5775.25,5780.75,51,25,227
2024-09-19 16:55:00,5781.75,5785.25,5777.25,5781.25,92,25,269
2024-09-19 17:00:00,5779.75,5781.0,5778.75,5779.75,52,25,305
2024-09-19 17:05:00,5779.0,5779.75,5779.0,5779.75,3,25,5
2024-09-19 17:10:00,5779.0,5779.0,5776.75,5776.75,20,25,160
2024-09-19 17:15:00,5778.0,5779.0,5778.0,5778.25,3,25,3
2024-09-19 17:20:00,5778.25,5779.25,5778.0,5779.25,3,25,9
2024-09-19 17:25:00,5780.0,5780.0,5780.0,5780.0,2,25,6
2024-09-19 17:30:00,5780.0,5780.0,5779.5,5779.5,6,25,47
2024-09-19 17:35:00,5779.5,5780.25,5779.5,5780.0,4,25,12
2024-09-19 17:40:00,5780.5,5780.5,5779.75,5780.5,13,25,695
2024-09-19 17:45:00,5780.0,5780.25,5779.25,5779.75,30,25,612
2024-09-19 17:50:00,5779.5,5779.5,5778.0,5779.5,18,25,45
2024-09-20 09:00:00,5766.25,5770.0,5766.25,5770.0,59,25,137
2024-09-20 09:05:00,5770.5,5772.75,5769.25,5772.75,71,25,865
2024-09-20 09:10:00,5772.25,5772.75,5771.25,5772.25,20,25,69
2024-09-20 09:15:00,5772.75,5773.5,5771.25,5771.5,27,25,85
2024-09-20 09:20:00,5772.0,5774.75,5771.75,5774.75,11,25,55
2024-09-20 09:25:00,5773.75,5774.5,5772.5,5774.25,18,25,100
2024-09-20 09:30:00,5773.25,5775.25,5772.5,5774.25,27,25,62
2024-09-20 09:35:00,5773.75,5775.5,5773.75,5775.5,19,25,49
2024-09-20 09:40:00,5775.5,5777.0,5775.25,5776.25,37,25,104
2024-09-20 09:45:00,5776.0,5776.75,5775.0,5776.5,29,25,72
2024-09-20 09:50:00,5776.25,5776.25,5773.25,5774.25,28,25,53
2024-09-20 09:55:00,5774.5,5775.75,5774.5,5775.75,12,25,33
2024-09-20 10:00:00,5775.75,5775.75,5770.5,5771.75,47,25,103
2024-09-20 10:05:00,5770.25,5770.25,5763.5,5765.25,95,25,208
2024-09-20 10:10:00,5766.5,5768.25,5764.25,5767.25,58,25,212
2024-09-20 10:15:00,5767.75,5767.75,5763.75,5765.25,73,25,455
2024-09-20 10:20:00,5765.25,5766.25,5763.0,5764.25,29,25,76
2024-09-20 10:25:00,5763.75,5765.5,5762.75,5763.75,38,25,135
2024-09-20 10:30:00,5764.75,5767.75,5761.25,5765.25,157,25,540
2024-09-20 10:35:00,5766.0,5770.0,5765.5,5768.75,118,25,434
2024-09-20 10:40:00,5768.0,5768.5,5762.75,5764.75,95,25,239
2024-09-20 10:45:00,5762.25,5765.0,5760.25,5761.25,57,25,238
2024-09-20 10:50:00,5763.0,5765.5,5761.0,5761.0,50,25,158
2024-09-20 10:55:00,5762.0,5762.25,5754.25,5755.5,75,25,159
2024-09-20 11:00:00,5756.0,5758.25,5752.5,5756.25,79,25,218
2024-09-20 11:05:00,5757.25,5758.5,5755.0,5755.25,47,25,177
2024-09-20 11:10:00,5756.75,5757.25,5748.75,5750.0,90,25,322
2024-09-20 11:15:00,5751.0,5758.25,5750.5,5756.75,86,25,337
2024-09-20 11:20:00,5757.75,5760.5,5756.75,5759.75,69,25,170
2024-09-20 11:25:00,5758.75,5761.25,5757.25,5757.25,30,25,204
2024-09-20 11:30:00,5757.75,5760.5,5753.75,5759.0,58,25,176
2024-09-20 11:35:00,5757.75,5762.75,5754.5,5762.0,64,25,282
2024-09-20 11:40:00,5760.25,5761.0,5756.25,5759.0,31,25,131
2024-09-20 11:45:00,5759.25,5759.25,5754.75,5756.0,42,25,228
2024-09-20 11:50:00,5757.75,5757.75,5749.75,5751.25,44,25,229
2024-09-20 11:55:00,5750.0,5751.75,5747.0,5748.75,45,25,67
2024-09-20 12:00:00,5748.75,5748.75,5744.75,5746.5,51,25,149
2024-09-20 12:05:00,5748.5,5748.5,5747.0,5747.5,17,25,54
2024-09-20 12:10:00,5747.5,5748.25,5741.0,5741.25,35,25,83
2024-09-20 12:15:00,5741.75,5744.5,5736.25,5743.5,71,25,160
2024-09-20 12:20:00,5743.5,5746.5,5743.5,5745.0,44,25,129
2024-09-20 12:25:00,5745.25,5746.75,5744.0,5744.75,82,25,196
2024-09-20 12:30:00,5744.25,5750.75,5742.25,5748.75,83,25,214
2024-09-20 12:35:00,5750.0,5752.0,5747.0,5750.25,74,25,256
2024-09-20 12:40:00,5750.75,5758.0,5749.0,5757.25,80,25,367
2024-09-20 12:45:00,5757.5,5757.75,5753.0,5755.5,68,25,243
2024-09-20 12:50:00,5755.75,5755.75,5749.75,5751.0,46,25,123
2024-09-20 12:55:00,5753.25,5757.0,5753.25,5753.75,46,25,198
2024-09-20 13:00:00,5753.5,5757.0,5752.5,5756.5,19,25,75
2024-09-20 13:05:00,5754.25,5759.5,5754.25,5758.5,27,25,107
2024-09-20 13:10:00,5758.25,5758.25,5756.25,5757.5,26,25,63
2024-09-20 13:15:00,5757.5,5758.25,5755.25,5756.25,16,25,34
2024-09-20 13:20:00,5758.5,5763.75,5757.75,5763.0,56,25,308
2024-09-20 13:25:00,5763.75,5764.5,5762.0,5764.25,29,25,159
2024-09-20 13:30:00,5764.0,5764.75,5762.0,5763.0,53,25,171
2024-09-20 13:35:00,5763.25,5766.5,5763.25,5766.0,57,25,162
