Data;Série;Código;Contratos em Aberto;Negócios Realizados;Contratos Negociados;Volume;Preço de Abertura;Preço Mínimo;Preço Máximo;Preço Médio;Último Preço;Variação em Pontos;Prêmio de Referência;Última Oferta de Compra;Última Oferta de Venda
2025-02-17;FV83;F26C007500;3000.0;;;;;;;;;;51.03;;
2025-02-17;FV84;F26C007600;150.0;;;;;;;;;;45.41;;
2025-02-17;FV87;F26C006200;1600.0;;;;;;;;;;265.02;;
2025-02-17;FV8N;F26C005100;500.0;;;;;;;;;;929.88;;
2025-02-17;FV8S;F26C005300;1000.0;;;;;;;;;;772.47;;
2025-02-17;FV8X;F26C005500;110.0;;;;;;;;;;627.47;;
2025-02-17;FV8Z;F26C005600;200.0;;;;;;;;;;560.32;;
2025-02-17;FV91;F26C005700;1000.0;;;;;;;;;;498.36;;
2025-02-17;FV93;F26C005800;1500.0;;;;;;;;;;442.47;;
2025-02-17;FV94;F26C005850;2000.0;;;;;;;;;;416.31;;
2025-02-17;FV95;F26C005900;2145.0;;;;;;;;;;391.33;;
2025-02-17;FV96;F26C005950;2350.0;;;;;;;;;;367.53;;
2025-02-17;FV97;F26C006000;600.0;;;;;;;;;;344.68;;
2025-02-17;FV98;F26C007000;38150.0;;;;;;;;;;94.66;;
2025-02-17;FV99;F26C006500;3500.0;;;;;;;;;;178.81;;
2025-02-17;FV9G;F26C006300;900.0;;;;;;;;;;232.57;;
2025-02-17;FV9J;F26C006400;50.0;;;;;;;;;;203.88;;
2025-02-17;FV9N;F26C006800;20.0;;;;;;;;;;122.26;;
2025-02-17;FV9P;F26C006850;10.0;;;;;;;;;;114.96;;
2025-02-17;FW82;F27C007000;150.0;;;;;;;;;;329.1;;
2025-02-17;FW83;F27C006000;165.0;;;;;;;;;;687.2;;
2025-02-17;FW84;F27C006500;1550.0;;;;;;;;;;474.4;;
2025-02-17;FW89;F27C005800;100.0;;;;;;;;;;792.92;;
2025-02-17;FW8V;F27C007150;400.0;;;;;;;;;;294.86;;
2025-02-17;FW8W;F27C007200;35.0;;;;;;;;;;284.3;;
2025-02-17;FW9D;F27C008000;500.0;;;;;;;;;;168.86;;
2025-02-17;FWB1;F27C009000;200.0;;;;;;;;;;86.72;;
2025-02-17;FX85;F28C006000;60.0;;;;;;;;;;969.38;;
2025-02-17;FX8D;F28C006700;25.0;;;;;;;;;;668.16;;
2025-02-17;FX8F;F28C011000;700.0;;;;;;;;;;94.81;;
2025-02-17;FX8G;F28C008500;700.0;;;;;;;;;;268.63;;
2025-02-17;FX8P;F28C007500;1150.0;;;;;;;;;;436.53;;
2025-02-17;FY88;F29C006300;100.0;;;;;;;;;;1061.72;;
2025-02-17;FY8F;F29C007500;645.0;;;;;;;;;;651.78;;
2025-02-17;FY8N;F29C008000;280.0;;;;;;;;;;529.59;;
2025-02-17;FY8P;F29C008500;500.0;;;;;;;;;;433.14;;
2025-02-17;GV8T;G26C006750;7.0;;;;;;;;;;152.57;;
2025-02-17;HT86;H25C005300;35.0;;;;;;;;;;420.81;;
2025-02-17;HT87;H25C005350;250.0;;;;;;;;;;371.13;;
2025-02-17;HT88;H25C005400;100.0;;;;;;;;;;321.61;;
2025-02-17;HT89;H25C005450;25.0;;;;;;;;;;272.41;;
2025-02-17;HT8B;H25C005500;60.0;;;;;;;;;;223.88;;
2025-02-17;HT8D;H25C005600;320.0;;;;;;;;;;132.54;;
2025-02-17;HT8F;H25C005650;20.0;;;;;;;;;;93.68;;
2025-02-17;HT8G;H25C005700;70.0;1.0;50.0;151350.0;60.54;60.54;60.54;60.54;60.54;;62.64;;
2025-02-17;HT8H;H25C005800;2875.0;3.0;2900.0;3468890.0;22.63;22.3;23.95;23.92;23.95;;24.65;;60.0
2025-02-17;HT8J;H25C005750;570.0;;;;;;;;;;39.86;;
2025-02-17;HT8K;H25C006200;3150.0;;;;;;;;;;0.17;;
2025-02-17;HT8L;H25C006250;7840.0;;;;;;;;;;0.07;;
2025-02-17;HT8M;H25C006300;320.0;;;;;;;;;;0.03;;
2025-02-17;HT8N;H25C006350;340.0;;;;;;;;;;0.01;;
2025-02-17;HT8P;H25C006400;40.0;;;;;;;;;;0.0;;
2025-02-17;HT8R;H25C006500;750.0;;;;;;;;;;0.0;;
2025-02-17;HT93;H25C005850;4100.0;;;;;;;;;;15.05;;
2025-02-17;HT94;H25C005900;7045.0;2.0;3835.0;1627250.0;7.0;7.0;8.5;8.49;8.5;;9.17;;
2025-02-17;HT95;H25C005950;7630.0;;;;;;;;;;5.48;;
2025-02-17;HT96;H25C006000;16345.0;;;;;;;;;;3.17;;
2025-02-17;HT97;H25C006050;4400.0;;;;;;;;;;1.66;;
