Data;Série;Código;Contratos em Aberto;Negócios Realizados;Contratos Negociados;Volume;Preço de Abertura;Preço Mínimo;Preço Máximo;Preço Médio;Último Preço;Variação em Pontos;Prêmio de Referência;Última Oferta de Compra;Última Oferta de Venda
2025-02-19;FV83;F26C007500;3000.0;;;;;;;;;;50.03;;
2025-02-19;FV84;F26C007600;150.0;;;;;;;;;;44.56;;
2025-02-19;FV87;F26C006200;1600.0;;;;;;;;;;263.1;;
2025-02-19;FV8N;F26C005100;500.0;;;;;;;;;;934.4;;
2025-02-19;FV8S;F26C005300;1000.0;;;;;;;;;;776.38;;
2025-02-19;FV8X;F26C005500;110.0;;;;;;;;;;630.14;;
2025-02-19;FV8Z;F26C005600;200.0;;;;;;;;;;562.16;;
2025-02-19;FV91;F26C005700;1000.0;;;;;;;;;;499.27;;
2025-02-19;FV93;F26C005800;1500.0;;;;;;;;;;442.38;;
2025-02-19;FV94;F26C005850;2000.0;;;;;;;;;;415.99;;
2025-02-19;FV95;F26C005900;2145.0;;;;;;;;;;390.6;;
2025-02-19;FV96;F26C005950;2350.0;;;;;;;;;;366.39;;
2025-02-19;FV97;F26C006000;600.0;;;;;;;;;;343.36;;
2025-02-19;FV98;F26C007000;38150.0;;;;;;;;;;93.04;;
2025-02-19;FV99;F26C006500;3500.0;;;;;;;;;;176.66;;
2025-02-19;FV9G;F26C006300;900.0;;;;;;;;;;230.45;;
2025-02-19;FV9J;F26C006400;50.0;;;;;;;;;;201.82;;
2025-02-19;FV9N;F26C006800;20.0;;;;;;;;;;120.41;;
2025-02-19;FV9P;F26C006850;10.0;;;;;;;;;;113.13;;
2025-02-19;FV9S;F26C006700;;1.0;150.0;1036155.0;138.15;138.15;138.15;138.15;138.15;;136.6;;
2025-02-19;FW82;F27C007000;150.0;;;;;;;;;;327.91;;
2025-02-19;FW83;F27C006000;165.0;;;;;;;;;;695.03;;
2025-02-19;FW84;F27C006500;1550.0;;;;;;;;;;480.14;;
2025-02-19;FW89;F27C005800;100.0;;;;;;;;;;801.89;;
2025-02-19;FW8V;F27C007150;400.0;;;;;;;;;;293.29;;
2025-02-19;FW8W;F27C007200;35.0;;;;;;;;;;282.62;;
2025-02-19;FW9D;F27C008000;500.0;;;;;;;;;;162.75;;
2025-02-19;FWB1;F27C009000;200.0;;;;;;;;;;84.42;;
2025-02-19;FX85;F28C006000;60.0;;;;;;;;;;979.05;;
2025-02-19;FX8D;F28C006700;25.0;;;;;;;;;;673.84;;
2025-02-19;FX8F;F28C011000;700.0;;;;;;;;;;92.26;;
2025-02-19;FX8G;F28C008500;700.0;;;;;;;;;;266.38;;
2025-02-19;FX8P;F28C007500;1150.0;;;;;;;;;;441.37;;
2025-02-19;FY88;F29C006300;100.0;;;;;;;;;;1075.78;;
2025-02-19;FY8F;F29C007500;645.0;;;;;;;;;;659.66;;
2025-02-19;FY8N;F29C008000;280.0;;;;;;;;;;535.52;;
2025-02-19;FY8P;F29C008500;500.0;;;;;;;;;;438.17;;
2025-02-19;GV8T;G26C006750;7.0;;;;;;;;;;150.64;;
2025-02-19;HT86;H25C005300;35.0;;;;;;;;;;422.45;;
2025-02-19;HT87;H25C005350;250.0;;;;;;;;;;372.66;;
2025-02-19;HT88;H25C005400;100.0;;;;;;;;;;322.93;;
2025-02-19;HT89;H25C005450;25.0;;;;;;;;;;273.4;;
2025-02-19;HT8B;H25C005500;60.0;;;;;;;;;;224.24;;
2025-02-19;HT8D;H25C005600;320.0;;;;;;;;;;129.84;;
2025-02-19;HT8F;H25C005650;20.0;;;;;;;;;;88.67;;
2025-02-19;HT8G;H25C005700;70.0;;;;;;;;;;55.87;;
2025-02-19;HT8H;H25C005800;3775.0;1.0;200.0;199500.0;19.95;19.95;19.95;19.95;19.95;;18.59;;60.0
2025-02-19;HT8J;H25C005750;570.0;;;;;;;;;;32.93;;
2025-02-19;HT8K;H25C006200;3150.0;;;;;;;;;;0.04;;
2025-02-19;HT8L;H25C006250;7840.0;;;;;;;;;;0.01;;
2025-02-19;HT8M;H25C006300;320.0;;;;;;;;;;0.0;;
2025-02-19;HT8N;H25C006350;340.0;;;;;;;;;;0.0;;
2025-02-19;HT8P;H25C006400;40.0;;;;;;;;;;0.0;;
2025-02-19;HT8R;H25C006500;750.0;;;;;;;;;;0.0;;
2025-02-19;HT93;H25C005850;4100.0;;;;;;;;;;10.47;;24.78
2025-02-19;HT94;H25C005900;7145.0;1.0;300.0;94500.0;6.3;6.3;6.3;6.3;6.3;;5.93;;
2025-02-19;HT95;H25C005950;7630.0;;;;;;;;;;3.22;;
2025-02-19;HT96;H25C006000;16270.0;1.0;20.0;2000.0;2.0;2.0;2.0;2.0;2.0;;1.6;;
2025-02-19;HT97;H25C006050;4500.0;;;;;;;;;;0.76;;
2025-02-19;HT98;H25C006100;6815.0;;;;;;;;;;0.32;;
2025-02-19;HT99;H25C006150;1090.0;;;;;;;;;;0.12;;
2025-02-19;HT9H;H25C005725;120.0;;;;;;;;;;43.09;;
2025-02-19;HT9K;H25C005825;40.0;;;;;;;;;;13.96;;
2025-02-19;HT9M;H25C005925;1000.0;;;;;;;;;;4.37;;
2025-02-19;HT9P;H25C006025;10.0;;;;;;;;;;1.1;;
2025-02-19;HT9R;H25C006125;105.0;;;;;;;;;;0.2;;
2025-02-19;HT9S;H25C006175;90.0;;;;;;;;;;0.07;;
2025-02-19;HTB3;H25C006600;1302.0;;;;;;;;;;0.0;;
2025-02-19;HTB4;H25C006625;15.0;;;;;;;;;;0.0;;
2025-02-19;JT82;J25C005500;200.0;;;;;;;;;;264.66;;
2025-02-19;JT83;J25C005750;1500.0;;;;;;;;;;93.99;;
