Data;Série;Código;Contratos em Aberto;Negócios Realizados;Contratos Negociados;Volume;Preço de Abertura;Preço Mínimo;Preço Máximo;Preço Médio;Último Preço;Variação em Pontos;Prêmio de Referência;Última Oferta de Compra;Última Oferta de Venda
2025-02-21;FVD7;F26P006200;35;;;;;;;;;320.75;;;
2025-02-21;FVDG;F26P004800;100;;;;;;;;;6.8;;;
2025-02-21;FVDJ;F26P004900;150;;;;;;;;;10.15;;;
2025-02-21;FVDL;F26P005000;600;;;;;;;;;14.77;;;
2025-02-21;FVDM;F26P005050;1600;;;;;;;;;17.67;;;
2025-02-21;FVDN;F26P005100;850;;;;;;;;;21.01;;;
2025-02-21;FVDP;F26P005150;2850;;;;;;;;;24.77;;;
2025-02-21;FVDQ;F26P005200;200;;;;;;;;;29.13;;;
2025-02-21;FVDV;F26P005400;1050;;;;;;;;;53.25;;;
2025-02-21;FVDX;F26P005500;1250;;;;;;;;;70.05;;;
2025-02-21;FVF1;F26P005700;150;;;;;;;;;115.34;;;
2025-02-21;FVF2;F26P005750;220;;;;;;;;;130.49;;;
2025-02-21;FVF3;F26P005800;1260;;;;;;;;;146.84;;;
2025-02-21;FVF4;F26P005850;250;;;;;;;;;164.38;;;
2025-02-21;FVF5;F26P005900;210;;;;;;;;;183.12;;;
2025-02-21;FVF6;F26P005950;10;;;;;;;;;203.06;;;
2025-02-21;FVF7;F26P006000;305;;;;;;;;;224.19;;;
2025-02-21;FVFB;F26P006050;10;;;;;;;;;246.68;;;
2025-02-21;FVFF;F26P006250;360;;;;;;;;;348.08;;;
2025-02-21;FVFH;F26P006350;350;;;;;;;;;406.15;;;
2025-02-21;FVFJ;F26P006400;240;;;;;;;;;436.79;;;
2025-02-21;FWD3;F27P006000;1000;;;;;;;;;184.47;;;
2025-02-21;FWD4;F27P006500;595;;;;;;;;;358.66;;;
2025-02-21;FWD5;F27P005000;200;;;;;;;;;30.03;;;
2025-02-21;FWD9;F27P005800;100;;;;;;;;;136.39;;;
2025-02-21;FWDD;F27P005500;200;;;;;;;;;82.99;;;
2025-02-21;FWGQ;F27P006450;100;;;;;;;;;338.5;;;
2025-02-21;FXDB;F28P006500;400;;;;;;;;;268.85;;;
2025-02-21;FXDG;F28P008500;200;;;;;;;;;1149.34;;;
2025-02-21;FXDP;F28P007500;650;;;;;;;;;638.46;;;
2025-02-21;FYD8;F29P006300;100;;;;;;;;;171.05;;;
2025-02-21;FYDN;F29P008000;200;;;;;;;;;641.18;;;
2025-02-21;FYDP;F29P008500;200;;;;;;;;;842.19;;;
2025-02-21;GVD6;G26P005800;7;;;;;;;;;144.56;;;
2025-02-21;GVD7;G26P005850;100;;;;;;;;;161.4;;;
2025-02-21;GVDB;G26P006000;45;;;;;;;;;218.66;;;
2025-02-21;HTD0;H25P005000;10;;;;;;;;;0.0;;;
2025-02-21;HTD2;H25P005100;70;;;;;;;;;0.0;;;
2025-02-21;HTD8;H25P005400;10;;;;;;;;;0.01;;;
2025-02-21;HTD9;H25P005450;610;;;;;;;;;0.06;;;
2025-02-21;HTDB;H25P005500;10;;;;;;;;;0.31;;;
2025-02-21;HTDC;H25P005550;200;;;;;;;;;0.95;;;
2025-02-21;HTDD;H25P005600;1365;;;;;;;;;2.66;;;
2025-02-21;HTDF;H25P005650;1100;;;;;;;;;7.49;;;
2025-02-21;HTDG;H25P005700;1345;;;;;;;;;19.86;;;
2025-02-21;HTDH;H25P005800;2400;;;;;;;;;78.38;;;
2025-02-21;HTDJ;H25P005750;1300;1.0;60.0;135000.0;45.0;45.0;45.0;45.0;45.0;43.6;;;
2025-02-21;HTF0;H25P004850;370;;;;;;;;;0.0;;;
2025-02-21;HTF3;H25P005850;1020;;;;;;;;;120.32;;;
2025-02-21;HTF4;H25P005900;1705;;;;;;;;;166.26;;;
2025-02-21;HTF5;H25P005950;60;;;;;;;;;214.15;;;
2025-02-21;HTF6;H25P006000;1015;;;;;;;;;262.96;;;
2025-02-21;HTF8;H25P006100;820;;;;;;;;;361.96;;;
