Data;Série;Código;Contratos em Aberto;Negócios Realizados;Contratos Negociados;Volume;Preço de Abertura;Preço Mínimo;Preço Máximo;Preço Médio;Último Preço;Variação em Pontos;Prêmio de Referência;Última Oferta de Compra;Última Oferta de Venda
2025-02-17;FVD7;F26P006200;35.0;;;;;;;;;334.15;;;
2025-02-17;FVDG;F26P004800;100.0;;;;;;;;;7.67;;;
2025-02-17;FVDJ;F26P004900;150.0;;;;;;;;;11.29;;;
2025-02-17;FVDL;F26P005000;600.0;;;;;;;;;16.29;;;
2025-02-17;FVDM;F26P005050;1600.0;;;;;;;;;19.4;;;
2025-02-17;FVDN;F26P005100;850.0;;;;;;;;;22.9;;;
2025-02-17;FVDP;F26P005150;2850.0;;;;;;;;;26.98;;;
2025-02-17;FVDQ;F26P005200;200.0;;;;;;;;;31.62;;;
2025-02-17;FVDV;F26P005400;1050.0;;;;;;;;;57.45;;;
2025-02-17;FVDX;F26P005500;1250.0;;;;;;;;;75.44;;;
2025-02-17;FVF2;F26P005750;220.0;;;;;;;;;139.63;;;
2025-02-17;FVF3;F26P005800;1260.0;;;;;;;;;156.65;;;
2025-02-17;FVF4;F26P005850;250.0;;;;;;;;;174.86;;;
2025-02-17;FVF5;F26P005900;210.0;;;;;;;;;194.25;;;
2025-02-17;FVF6;F26P005950;10.0;;;;;;;;;214.81;;;
2025-02-17;FVF7;F26P006000;305.0;;;;;;;;;236.34;;;
2025-02-17;FVFB;F26P006050;10.0;;;;;;;;;259.2;;;
2025-02-17;FVFF;F26P006250;360.0;;;;;;;;;361.9;;;
2025-02-17;FVFH;F26P006350;350.0;;;;;;;;;420.1;;;
2025-02-17;FVFJ;F26P006400;240.0;;;;;;;;;450.48;;;
2025-02-17;FWD3;F27P006000;1000.0;;;;;;;;;193.26;;;
2025-02-17;FWD4;F27P006500;595.0;;;;;;;;;368.6;;;
2025-02-17;FWD5;F27P005000;200.0;;;;;;;;;32.11;;;
2025-02-17;FWD9;F27P005800;100.0;;;;;;;;;143.72;;;
2025-02-17;FWDD;F27P005500;200.0;;;;;;;;;87.38;;;
2025-02-17;FWGQ;F27P006450;100.0;;;;;;;;;347.26;;;
2025-02-17;FXDB;F28P006500;400.0;;;;;;;;;281.03;;;
