Timestamp,Last,Bid,Ask,Volume,Flags
2024-10-08 10:59:53.938910,5778.0,5777.75,5778.0,2,2
2024-10-08 10:59:58.941068,5778.0,5778.0,5778.5,3,2
2024-10-08 11:00:03.942227,5779.5,5778.5,5779.25,3,6
2024-10-08 11:00:08.943386,5780.0,5779.5,5780.25,2,6
2024-10-08 11:00:13.944546,5780.25,5779.5,5780.25,2,4
2024-10-08 11:00:18.946703,5780.5,5780.25,5780.75,23,4
2024-10-08 11:00:23.947862,5781.0,5781.0,5781.75,3,6
2024-10-08 11:00:28.949021,5781.0,5781.0,5781.75,3,2
2024-10-08 11:00:33.950181,5781.0,5780.5,5781.0,3,2
2024-10-08 11:00:38.953337,5780.5,5780.5,5781.0,1,2
2024-10-08 11:00:43.954496,5781.0,5780.75,5781.25,1,4
2024-10-08 11:00:48.955655,5782.5,5782.5,5782.75,3,0
2024-10-08 11:00:53.959811,5782.75,5782.5,5783.25,1,0
2024-10-08 11:00:58.962967,5783.75,5782.5,5783.25,2,6
2024-10-08 11:01:03.965125,5783.25,5783.25,5784.0,1,2
2024-10-08 11:01:08.968282,5782.0,5781.75,5782.5,1,6
2024-10-08 11:01:13.970440,5782.0,5782.0,5782.75,1,6
