Data;Série;Código;Contratos em Aberto;Negócios Realizados;Contratos Negociados;Volume;Preço de Abertura;Preço Mínimo;Preço Máximo;Preço Médio;Último Preço;Variação em Pontos;Prêmio de Referência;Última Oferta de Compra;Última Oferta de Venda
2025-01-31;FV83;F26C007500;3000;;;;;;;;;;77,64;;
2025-01-31;FV84;F26C007600;150;;;;;;;;;;69,36;;
2025-01-31;FV87;F26C006200;1600;;;;;;;;;;359,76;;
2025-01-31;FV8N;F26C005100;500;;;;;;;;;;1080,52;;
2025-01-31;FV8S;F26C005300;1000;;;;;;;;;;920,25;;
2025-01-31;FV8X;F26C005500;110;;;;;;;;;;769,42;;
2025-01-31;FV8Z;F26C005600;200;;;;;;;;;;698,28;;
2025-01-31;FV91;F26C005700;1000;;;;;;;;;;630,39;;
2025-01-31;FV93;F26C005800;1500;;;;;;;;;;566,04;;
2025-01-31;FV94;F26C005850;2000;;;;;;;;;;536,49;;
2025-01-31;FV95;F26C005900;2145;;;;;;;;;;507,99;;
2025-01-31;FV96;F26C005950;2350;;;;;;;;;;480,56;;
2025-01-31;FV97;F26C006000;600;;;;;;;;;;454,19;;
2025-01-31;FV98;F26C007000;38150;;;;;;;;;;138,57;;
2025-01-31;FV99;F26C006500;3500;;;;;;;;;;250,49;;
2025-01-31;FV9G;F26C006300;900;;;;;;;;;;318,99;;
2025-01-31;FV9J;F26C006400;50;;;;;;;;;;282,35;;
2025-01-31;FV9N;F26C006800;20;;;;;;;;;;174,73;;
2025-01-31;FV9P;F26C006850;;1;10;69500;139;139;139;139;139;;164,88;;
2025-01-31;FW82;F27C007000;150;;;;;;;;;;407,06;;
2025-01-31;FW83;F27C006000;165;;;;;;;;;;817,48;;
2025-01-31;FW84;F27C006500;1550;;;;;;;;;;581,9;;
2025-01-31;FW89;F27C005800;100;;;;;;;;;;931,15;;
2025-01-31;FW8V;F27C007150;400;;;;;;;;;;366,68;;
2025-01-31;FW8W;F27C007200;35;;;;;;;;;;354,16;;
2025-01-31;FW9D;F27C008000;500;;;;;;;;;;209,58;;
2025-01-31;FWB1;F27C009000;200;;;;;;;;;;111,52;;
2025-01-31;FX85;F28C006000;60;;;;;;;;;;1104,85;;
2025-01-31;FX8D;F28C006700;25;;;;;;;;;;780,4;;
2025-01-31;FX8F;F28C011000;700;;;;;;;;;;111,18;;
2025-01-31;FX8G;F28C008500;700;;;;;;;;;;316,65;;
2025-01-31;FX8P;F28C007500;750;2;400;10580000;529;529;529;529;529;;515,08;;
