Data;Série;Código;Contratos em Aberto;Negócios Realizados;Contratos Negociados;Volume;Preço de Abertura;Preço Mínimo;Preço Máximo;Preço Médio;Último Preço;Variação em Pontos;Prêmio de Referência;Última Oferta de Compra;Última Oferta de Venda
2025-02-04;FVD7;F26P006200;35;;;;;;;;;299,92;;;
2025-02-04;FVDG;F26P004800;100;;;;;;;;;8,09;;;
2025-02-04;FVDJ;F26P004900;150;;;;;;;;;11,72;;;
2025-02-04;FVDL;F26P005000;600;;;;;;;;;16,6;;;
2025-02-04;FVDM;F26P005050;1600;;;;;;;;;19,58;;;
2025-02-04;FVDN;F26P005100;850;;;;;;;;;22,97;;;
2025-02-04;FVDP;F26P005150;2850;;;;;;;;;26,81;;;
2025-02-04;FVDQ;F26P005200;;1;200;300000;30;30;30;30;30;31,16;;;
2025-02-04;FVDV;F26P005400;1050;;;;;;;;;54,58;;;
2025-02-04;FVDX;F26P005500;1250;;;;;;;;;70,55;;;
2025-02-04;FVF3;F26P005800;1250;1;200;1490000;149;149;149;149;149;140,79;;;
2025-02-04;FVF4;F26P005850;250;;;;;;;;;156,82;;;
2025-02-04;FVF5;F26P005900;210;;;;;;;;;174,12;;;
2025-02-04;FVF6;F26P005950;10;;;;;;;;;192,32;;;
2025-02-04;FVF7;F26P006000;305;;;;;;;;;211,79;;;
2025-02-04;FVFB;F26P006050;10;;;;;;;;;232,15;;;
2025-02-04;FVFF;F26P006250;360;;;;;;;;;324,63;;;
2025-02-04;FVFH;F26P006350;350;;;;;;;;;377,58;;;
2025-02-04;FVFJ;F26P006400;240;;;;;;;;;405,77;;;
2025-02-04;FWD3;F27P006000;1000;;;;;;;;;172,1;;;
2025-02-04;FWD4;F27P006500;595;;;;;;;;;331,34;;;
2025-02-04;FWD5;F27P005000;200;;;;;;;;;29,83;;;
2025-02-04;FWD9;F27P005800;100;;;;;;;;;129,11;;;
2025-02-04;FWDD;F27P005500;200;;;;;;;;;79,7;;;
2025-02-04;FWGQ;F27P006450;100;;;;;;;;;312,43;;;
2025-02-04;FXDB;F28P006500;400;;;;;;;;;243,68;;;
2025-02-04;FXDG;F28P008500;200;;;;;;;;;1080,29;;;
2025-02-04;FXDP;F28P007500;650;;;;;;;;;586,62;;;
2025-02-04;FYD8;F29P006300;100;;;;;;;;;162,59;;;
2025-02-04;FYDN;F29P008000;200;;;;;;;;;604,16;;;
2025-02-04;FYDP;F29P008500;200;;;;;;;;;800,69;;;
2025-02-04;HTD0;H25P005000;10;;;;;;;;;0;;;
2025-02-04;HTD2;H25P005100;70;;;;;;;;;0,01;;;
2025-02-04;HTD8;H25P005400;10;;;;;;;;;1,69;;;
2025-02-04;HTD9;H25P005450;385;;;;;;;;;3,1;;;
2025-02-04;HTDB;H25P005500;10;;;;;;;;;5,42;;;
2025-02-04;HTDD;H25P005600;15;;;;;;;;;15,4;;;14,63
2025-02-04;HTDF;H25P005650;200;;;;;;;;;24,76;;;
2025-02-04;HTDG;H25P005700;250;;;;;;;;;38,53;;;40
2025-02-04;HTDH;H25P005800;2200;1;35;106750;61;61;61;61;61;81,3;;;97,88
2025-02-04;HTDJ;H25P005750;20;1;350;807258;46,13;46,13;46,13;46,13;46,13;57,38;;;72,25
2025-02-04;HTF0;H25P004850;370;;;;;;;;;0;;;
2025-02-04;HTF3;H25P005850;1510;;;;;;;;;110,47;;;
2025-02-04;HTF4;H25P005900;1605;;;;;;;;;144,14;;;
2025-02-04;HTF5;H25P005950;60;;;;;;;;;181,76;;;
2025-02-04;HTF6;H25P006000;1115;;;;;;;;;222,17;;;
2025-02-04;HTF8;H25P006100;1020;;;;;;;;;309,44;;;
2025-02-04;HTFL;H25P005875;245;;;;;;;;;126,69;;;
2025-02-04;HTFP;H25P006025;30;;;;;;;;;243,28;;;
2025-02-04;HTG4;H25P006625;15;;;;;;;;;815,76;;;
2025-02-04;JTD0;J25P005000;175;;;;;;;;;0,12;;;
2025-02-04;JTD1;J25P005250;100;;;;;;;;;2,13;;;
2025-02-04;JTD2;J25P005500;40;;;;;;;;;17,28;;;
2025-02-04;JTD9;J25P004500;205;;;;;;;;;0;;;
2025-02-04;JTDC;J25P004900;100;;;;;;;;;0,03;;;
2025-02-04;JTDD;J25P004950;450;;;;;;;;;0,06;;;
2025-02-04;JTDF;J25P005050;500;;;;;;;;;0,22;;;
2025-02-04;JTDG;J25P005100;400;;;;;;;;;0,42;;;
2025-02-04;JTDH;J25P005150;135;;;;;;;;;0,75;;;
2025-02-04;JTDK;J25P005300;1850;;;;;;;;;3,42;;;
2025-02-04;JTDM;J25P005400;100;;;;;;;;;8,09;;;
2025-02-04;JTDN;J25P005450;200;;;;;;;;;11,93;;;
2025-02-04;JTDP;J25P005550;175;;;;;;;;;24,51;;;
2025-02-04;JTDQ;J25P005600;30;;;;;;;;;33,86;;;
2025-02-04;JTDR;J25P005700;110;;;;;;;;;61,78;;;
2025-02-04;JTDS;J25P005800;10;;;;;;;;;103,56;;;
2025-02-04;JTDT;J25P005850;400;;;;;;;;;129,53;;;
2025-02-04;JTDV;J25P005900;95;;;;;;;;;159,05;;;
2025-02-04;JTG9;J25P005725;200;;;;;;;;;70,95;;;
2025-02-04;JVDK;J26P004950;100;;;;;;;;;16,66;;;
2025-02-04;JVDN;J26P005100;3300;;;;;;;;;25,94;;;
2025-02-04;JVDP;J26P005150;3200;;;;;;;;;29,76;;;
2025-02-04;JVDQ;J26P005200;1400;;;;;;;;;34,11;;;
2025-02-04;JVDS;J26P005300;3600;;;;;;;;;44,16;;;
2025-02-04;JVDV;J26P005400;1085;;;;;;;;;56,59;;;
2025-02-04;JVDW;J26P005450;120;;;;;;;;;63,78;;;
2025-02-04;JVDX;J26P005500;120;;;;;;;;;71,62;;;
2025-02-04;JVF3;J26P005800;200;;;;;;;;;133,56;;;
2025-02-04;JVFB;J26P006400;500;;;;;;;;;365,88;;;
2025-02-04;JWDL;J27P006150;10;;;;;;;;;165,07;;;
2025-02-04;KTD1;K25P004900;300;;;;;;;;;0,29;;;
2025-02-04;KTD4;K25P005050;160;;;;;;;;;1,24;;;
2025-02-04;KTD6;K25P005200;100;;;;;;;;;4,17;;;
2025-02-04;KTD7;K25P005250;100;;;;;;;;;5,98;;;
2025-02-04;KTDC;K25P005450;300;;;;;;;;;21,6;;;
2025-02-04;KTDD;K25P005500;120;;;;;;;;;28,67;;;
2025-02-04;KTDG;K25P005600;135;;;;;;;;;48,12;;;
2025-02-04;KTDH;K25P005650;100;;;;;;;;;61,44;;;
2025-02-04;KTDJ;K25P005700;20;;;;;;;;;77,82;;;
2025-02-04;KTDK;K25P005750;55;;;;;;;;;96,76;;;
2025-02-04;KTDP;K25P005950;60;;;;;;;;;199,68;;;
2025-02-04;KTDR;K25P006050;50;;;;;;;;;266,74;;;
2025-02-04;KTDS;K25P006100;65;;;;;;;;;303,72;;;
2025-02-04;KTG9;K25P004400;205;;;;;;;;;0;;;
2025-02-04;MTD1;M25P004650;435;;;;;;;;;0,1;;;
2025-02-04;MTD8;M25P005000;20;;;;;;;;;2,16;;;
2025-02-04;MTDB;M25P005100;435;;;;;;;;;4,23;;;
2025-02-04;MTDC;M25P005150;410;;;;;;;;;5,8;;;
2025-02-04;MTDD;M25P005200;200;;;;;;;;;7,84;;;
2025-02-04;MTDJ;M25P005400;330;;;;;;;;;23,14;;;
2025-02-04;MTDK;M25P005450;140;;;;;;;;;29,64;;;
2025-02-04;MTDN;M25P005600;20;;;;;;;;;58,05;;;
2025-02-04;MTDP;M25P005650;120;;;;;;;;;71,4;;;
2025-02-04;MTDQ;M25P005700;255;;;;;;;;;87,52;;;
2025-02-04;MTDR;M25P005750;5;;;;;;;;;105,79;;;
2025-02-04;MTDY;M25P006050;40;;;;;;;;;263,25;;;
2025-02-04;NTD6;N25P004800;8000;;;;;;;;;1,01;;;
2025-02-04;NTD8;N25P004900;5380;;;;;;;;;2,04;;;
2025-02-04;NTDB;N25P005000;7450;;;;;;;;;3,84;;;
2025-02-04;NTDF;N25P005100;21150;;;;;;;;;6,85;;;
2025-02-04;NTDG;N25P005150;110;;;;;;;;;8,98;;;
2025-02-04;NTDH;N25P005200;315;;;;;;;;;11,64;;;
2025-02-04;NTDK;N25P005250;5665;;;;;;;;;14,93;;;
2025-02-04;NTDL;N25P005300;5020;;;;;;;;;18,91;;;
2025-02-04;NTDM;N25P005350;65;;;;;;;;;23,71;;;
2025-02-04;NTDN;N25P005400;13100;;;;;;;;;29,6;;;
2025-02-04;NTDP;N25P005450;5255;;;;;;;;;36,59;;;
2025-02-04;NTDQ;N25P005500;6800;;;;;;;;;44,81;;;
2025-02-04;NTDR;N25P006000;50;;;;;;;;;229,2;;;
2025-02-04;NTDT;N25P006100;105;;;;;;;;;291,15;;;
2025-02-04;NTF2;N25P005600;473;;;;;;;;;65,38;;;
2025-02-04;NTF3;N25P005700;2555;;;;;;;;;93,28;;;
2025-02-04;NTF4;N25P005800;2580;;;;;;;;;129,27;;;
2025-02-04;NTF5;N25P005900;105;;;;;;;;;175,2;;;
2025-02-04;NTF8;N25P005550;40;;;;;;;;;54,36;;;
2025-02-04;NTF9;N25P005650;1250;;;;;;;;;78,07;;;
2025-02-04;NTFB;N25P005750;70;;;;;;;;;110,34;;;
2025-02-04;NTFF;N25P006150;175;;;;;;;;;324,61;;;
2025-02-04;NTFG;N25P006200;660;;;;;;;;;359,31;;;
2025-02-04;NTFH;N25P006250;10;;;;;;;;;395,25;;;
2025-02-04;NVD2;N26P006000;5485;;;;;;;;;188,59;;;
2025-02-04;NVD5;N26P004900;200;;;;;;;;;17,06;;;
2025-02-04;NVDD;N26P005300;70;;;;;;;;;47,18;;;
2025-02-04;NVDH;N26P005450;155;;;;;;;;;66,35;;;
2025-02-04;NVDJ;N26P005500;400;;;;;;;;;73,91;;;
2025-02-04;NVDL;N26P005600;5000;;;;;;;;;90,84;;;
2025-02-04;NVDM;N26P005650;80;;;;;;;;;100,09;;;
2025-02-04;NVDN;N26P005700;5000;;;;;;;;;110,16;;;
2025-02-04;NVDP;N26P005750;960;;;;;;;;;120,91;;;
2025-02-04;NVDQ;N26P005800;70;;;;;;;;;132,36;;;
2025-02-04;NVDS;N26P005900;5000;;;;;;;;;158;;;
2025-02-04;NVDW;N26P006200;5095;;;;;;;;;259,45;;;
2025-02-04;NVDX;N26P006300;5600;;;;;;;;;298,89;;;
2025-02-04;NVF2;N26P006600;5000;;;;;;;;;433,92;;;
2025-02-04;QTD1;Q25P005550;270;;;;;;;;;60,48;;;
2025-02-04;QTD3;Q25P005650;270;;;;;;;;;83,85;;;
2025-02-04;QTD4;Q25P005700;10;;;;;;;;;98,75;;;
2025-02-04;QTD5;Q25P005750;5;;;;;;;;;115,13;;;
2025-02-04;QTD6;Q25P005800;60;;;;;;;;;133,31;;;
2025-02-04;QTDD;Q25P006100;205;;;;;;;;;283,52;;;
2025-02-04;QTFL;Q25P005400;20;;;;;;;;;35;;;
2025-02-04;QTFM;Q25P005450;70;;;;;;;;;42,34;;;
2025-02-04;UTD8;U25P004900;100;;;;;;;;;4,59;;;
2025-02-04;UTDF;U25P005150;10;;;;;;;;;14,83;;;
2025-02-04;UTDH;U25P005250;100;;;;;;;;;22,31;;;
2025-02-04;UTDM;U25P005450;200;;;;;;;;;46,86;;;
2025-02-04;UTDN;U25P005500;10;;;;;;;;;55,56;;;
2025-02-04;UTDP;U25P005550;100;;;;;;;;;65,28;;;
2025-02-04;UTDQ;U25P005600;100;;;;;;;;;76,19;;;
