Data;Série;Código;Contratos em Aberto;Negócios Realizados;Contratos Negociados;Volume;Preço de Abertura;Preço Mínimo;Preço Máximo;Preço Médio;Último Preço;Variação em Pontos;Prêmio de Referência;Última Oferta de Compra;Última Oferta de Venda
2025-02-05;VTDV;V25P005250;1050;;;;;;;;;24,79;;;
2025-02-05;VTDX;V25P005350;1500;;;;;;;;;35,38;;;
2025-02-05;VTDY;V25P005400;5385;;;;;;;;;42;;;
2025-02-05;VTDZ;V25P005450;2200;;;;;;;;;49,62;;;
2025-02-05;VTF0;V25P005500;5280;;;;;;;;;58,11;;;
2025-02-05;VTF3;V25P004800;100;;;;;;;;;3,56;;;
2025-02-05;VTF5;V25P004900;585;;;;;;;;;5,81;;;
2025-02-05;VTF6;V25P004950;1000;;;;;;;;;7,3;;;
2025-02-05;VTF8;V25P006300;400;;;;;;;;;377,6;;;
2025-02-05;VVD0;V26P005000;40;;;;;;;;;23,53;;;
2025-02-05;VVD4;V26P005400;50;;;;;;;;;57,49;;;
2025-02-05;VVD5;V26P005500;100;;;;;;;;;70,48;;;
2025-02-05;VVD7;V26P005700;460;;;;;;;;;102,45;;;
2025-02-05;VVDB;V26P006000;1000;;;;;;;;;168,11;;;
2025-02-05;VVDD;V26P006200;2100;;;;;;;;;229,61;;;
2025-02-05;VVDN;V26P006700;400;;;;;;;;;430,11;;;
2025-02-05;VVDW;V26P005750;1750;;;;;;;;;111,95;;;
2025-02-05;XTDB;X25P005000;320;;;;;;;;;10,78;;;
2025-02-05;XTDR;X25P005650;200;;;;;;;;;89,67;;;
2025-02-05;XTDT;X25P005750;325;;;;;;;;;116,08;;;
2025-02-05;XTDV;X25P005800;400;;;;;;;;;132,03;;;
2025-02-05;XTDX;X25P005900;50;;;;;;;;;167,61;;;
2025-02-05;XTDZ;X25P006000;400;;;;;;;;;208,1;;;
2025-02-05;ZTD2;Z25P005100;650;;;;;;;;;19,03;;;
2025-02-05;ZTDH;Z25P005750;5;;;;;;;;;119,83;;;
2025-02-05;ZTDK;Z25P005850;105;;;;;;;;;151,51;;;
2025-02-05;ZTDM;Z25P005950;40;;;;;;;;;187,69;;;
2025-02-05;ZTDN;Z25P006000;650;;;;;;;;;207,62;;;
2025-02-05;ZTDP;Z25P006050;200;;;;;;;;;228,9;;;
2025-02-05;ZTDR;Z25P006150;110;;;;;;;;;274,49;;;
2025-02-05;ZTDV;Z25P006300;100;;;;;;;;;351,84;;;
