Data;Série;Código;Contratos em Aberto;Negócios Realizados;Contratos Negociados;Volume;Preço de Abertura;Preço Mínimo;Preço Máximo;Preço Médio;Último Preço;Variação em Pontos;Prêmio de Referência;Última Oferta de Compra;Última Oferta de Venda
2025-01-31;FVD7;F26P006200;35;;;;;;;;;266,54;;;
2025-01-31;FVDG;F26P004800;100;;;;;;;;;6,44;;;
2025-01-31;FVDJ;F26P004900;150;;;;;;;;;9,42;;;
2025-01-31;FVDL;F26P005000;600;;;;;;;;;13,47;;;
2025-01-31;FVDM;F26P005050;1600;;;;;;;;;16,01;;;
2025-01-31;FVDN;F26P005100;850;;;;;;;;;18,86;;;
2025-01-31;FVDP;F26P005150;2850;;;;;;;;;22,12;;;
2025-01-31;FVDV;F26P005400;1050;;;;;;;;;45,98;;;
2025-01-31;FVDX;F26P005500;1250;;;;;;;;;59,92;;;
2025-01-31;FVF3;F26P005800;1250;;;;;;;;;120,66;;;
2025-01-31;FVF4;F26P005850;240;1;10;69500;139;139;139;139;139;135,13;;;
2025-01-31;FVF5;F26P005900;210;;;;;;;;;150,65;;;
2025-01-31;FVF6;F26P005950;10;;;;;;;;;167,24;;;
2025-01-31;FVF7;F26P006000;305;;;;;;;;;184,89;;;
2025-01-31;FVFB;F26P006050;10;;;;;;;;;203,61;;;
2025-01-31;FVFF;F26P006250;360;;;;;;;;;289,67;;;
2025-01-31;FVFH;F26P006350;350;;;;;;;;;338,92;;;
2025-01-31;FVFJ;F26P006400;240;;;;;;;;;365,21;;;
2025-01-31;FWD3;F27P006000;1000;;;;;;;;;149,43;;;
2025-01-31;FWD4;F27P006500;595;;;;;;;;;297,2;;;
2025-01-31;FWD5;F27P005000;200;;;;;;;;;23,32;;;
2025-01-31;FWD9;F27P005800;100;;;;;;;;;109,75;;;
2025-01-31;FWDD;F27P005500;200;;;;;;;;;65,05;;;
2025-01-31;FWGQ;F27P006450;100;;;;;;;;;279,47;;;
2025-01-31;FXDB;F28P006500;400;;;;;;;;;215,92;;;
2025-01-31;FXDG;F28P008500;200;;;;;;;;;1011,56;;;
2025-01-31;FXDP;F28P007500;250;2;400;11800000;590;590;590;590;590;539,7;;;
2025-01-31;FYD8;F29P006300;100;;;;;;;;;144,26;;;
2025-01-31;FYDN;F29P008000;200;;;;;;;;;548,34;;;
2025-01-31;FYDP;F29P008500;200;;;;;;;;;733,25;;;
2025-01-31;GTD0;G25P004400;20;;;;;;;;;0;;;
2025-01-31;GTDB;G25P004900;200;;;;;;;;;0;;;
2025-01-31;GTDC;G25P004950;500;;;;;;;;;0;;;
2025-01-31;GTDD;G25P005000;80;;;;;;;;;0;;;
2025-01-31;GTDF;G25P005050;100;;;;;;;;;0;;;
2025-01-31;GTDG;G25P005100;625;;;;;;;;;0;;;
2025-01-31;GTDH;G25P005150;5;;;;;;;;;0;;;
2025-01-31;GTDK;G25P005250;250;;;;;;;;;0;;;
2025-01-31;GTDL;G25P005300;705;;;;;;;;;0;;;
2025-01-31;GTDN;G25P005400;2170;;;;;;;;;0;;;
2025-01-31;GTDP;G25P005450;230;;;;;;;;;0;;;
2025-01-31;GTDQ;G25P005500;55;;;;;;;;;0;;;
2025-01-31;GTDT;G25P005650;75;;;;;;;;;0;;;
2025-01-31;GTDV;G25P005700;1005;;;;;;;;;0;;;
2025-01-31;GTDW;G25P005750;535;;;;;;;;;0;;;
2025-01-31;GTDX;G25P005800;2915;;;;;;;;;0;;;
