Data;Série;Código;Contratos em Aberto;Negócios Realizados;Contratos Negociados;Volume;Preço de Abertura;Preço Mínimo;Preço Máximo;Preço Médio;Último Preço;Variação em Pontos;Prêmio de Referência;Última Oferta de Compra;Última Oferta de Venda
2025-02-04;FV83;F26C007500;3000;;;;;;;;;;68,88;;
2025-02-04;FV84;F26C007600;150;;;;;;;;;;61,5;;
2025-02-04;FV87;F26C006200;1600;;;;;;;;;;323,79;;
2025-02-04;FV8N;F26C005100;500;;;;;;;;;;1016,3;;
2025-02-04;FV8S;F26C005300;1000;;;;;;;;;;858,58;;
2025-02-04;FV8X;F26C005500;110;;;;;;;;;;711,35;;
2025-02-04;FV8Z;F26C005600;200;;;;;;;;;;642,55;;
2025-02-04;FV91;F26C005700;1000;;;;;;;;;;577,12;;
2025-02-04;FV93;F26C005800;1500;;;;;;;;;;517,19;;
2025-02-04;FV94;F26C005850;2000;;;;;;;;;;489,16;;
2025-02-04;FV95;F26C005900;2145;;;;;;;;;;462,39;;
2025-02-04;FV96;F26C005950;2350;;;;;;;;;;436,52;;
2025-02-04;FV97;F26C006000;600;;;;;;;;;;411,93;;
2025-02-04;FV98;F26C007000;38150;1;200;1232500;123,25;123,25;123,25;123,25;123,25;;123,96;;
2025-02-04;FV99;F26C006500;3500;;;;;;;;;;224,23;;
2025-02-04;FV9G;F26C006300;900;;;;;;;;;;286,26;;
2025-02-04;FV9J;F26C006400;50;;;;;;;;;;253,37;;
2025-02-04;FV9N;F26C006800;20;;;;;;;;;;156,39;;
2025-02-04;FV9P;F26C006850;10;;;;;;;;;;147,5;;
2025-02-04;FW82;F27C007000;150;;;;;;;;;;376,85;;
2025-02-04;FW83;F27C006000;165;;;;;;;;;;766,76;;
2025-02-04;FW84;F27C006500;1550;;;;;;;;;;541,65;;
2025-02-04;FW89;F27C005800;100;;;;;;;;;;877,52;;
2025-02-04;FW8V;F27C007150;400;;;;;;;;;;339,98;;
2025-02-04;FW8W;F27C007200;35;;;;;;;;;;328,58;;
2025-02-04;FW9D;F27C008000;500;;;;;;;;;;195,05;;
2025-02-04;FWB1;F27C009000;200;;;;;;;;;;103,18;;
2025-02-04;FX85;F28C006000;60;;;;;;;;;;1036,52;;
2025-02-04;FX8D;F28C006700;25;;;;;;;;;;725,4;;
2025-02-04;FX8F;F28C011000;700;;;;;;;;;;101,36;;
2025-02-04;FX8G;F28C008500;700;;;;;;;;;;290,9;;
2025-02-04;FX8P;F28C007500;1150;;;;;;;;;;471,84;;
2025-02-04;FY88;F29C006300;100;;;;;;;;;;1122,33;;
2025-02-04;FY8F;F29C007500;645;;;;;;;;;;682,26;;
2025-02-04;FY8N;F29C008000;280;;;;;;;;;;556,62;;
2025-02-04;FY8P;F29C008500;500;;;;;;;;;;456,89;;
2025-02-04;HT86;H25C005300;35;;;;;;;;;;497,49;;
2025-02-04;HT87;H25C005350;250;;;;;;;;;;448,42;;
2025-02-04;HT88;H25C005400;100;;;;;;;;;;399,68;;
2025-02-04;HT89;H25C005450;25;;;;;;;;;;351,55;;
2025-02-04;HT8B;H25C005500;60;;;;;;;;;;304,34;;
2025-02-04;HT8D;H25C005600;320;;;;;;;;;;215,25;;
2025-02-04;HT8F;H25C005650;20;;;;;;;;;;175,07;;
2025-02-04;HT8G;H25C005700;20;;;;;;;;;;139,3;;
2025-02-04;HT8J;H25C005750;370;;;;;;;;;;108,62;;
2025-02-04;HT8K;H25C006200;3350;2;225;118875;11;7,1;11;10,57;7,1;;6,95;4;
2025-02-04;HT8L;H25C006250;7840;;;;;;;;;;4,74;;
2025-02-04;HT8M;H25C006300;570;1;200;60000;6;6;6;6;6;;3,09;;
2025-02-04;HT8N;H25C006350;;1;75;9375;2,5;2,5;2,5;2,5;2,5;;1,99;;
2025-02-04;HT8P;H25C006400;45;;;;;;;;;;1,26;;
2025-02-04;HT8R;H25C006500;750;;;;;;;;;;0,46;;
2025-02-04;HT94;H25C005900;1575;1;20;46750;46,75;46,75;46,75;46,75;46,75;;46,78;;
2025-02-04;HT95;H25C005950;25;1;25;55625;44,5;44,5;44,5;44,5;44,5;;34,85;;
2025-02-04;HT96;H25C006000;13595;2;220;379000;35,3;26;35,3;34,45;26;;25,73;;
2025-02-04;HT97;H25C006050;275;1;25;30625;24,5;24,5;24,5;24,5;24,5;;18,95;;
2025-02-04;HT98;H25C006100;1555;4;2210;1470465;19;12,5;19;13,31;12,5;;13,92;;40
2025-02-04;HT99;H25C006150;1100;1;50;33125;13,25;13,25;13,25;13,25;13,25;;10,05;;34,88
2025-02-04;HT9P;H25C006025;10;;;;;;;;;;22,07;;
2025-02-04;HT9R;H25C006125;105;;;;;;;;;;11,95;;
2025-02-04;HT9S;H25C006175;90;;;;;;;;;;8,36;;
2025-02-04;HTB3;H25C006600;1302;;;;;;;;;;0,15;;
2025-02-04;HTB4;H25C006625;15;;;;;;;;;;0,11;;
2025-02-04;JT82;J25C005500;200;;;;;;;;;;345,1;;
2025-02-04;JT83;J25C005750;1500;;;;;;;;;;163,45;;
2025-02-04;JT84;J25C006000;750;;;;;;;;;;64,93;;
2025-02-04;JT85;J25C006250;3500;;;;;;;;;;24,44;;
2025-02-04;JT86;J25C006500;985;;;;;;;;;;8,26;;
2025-02-04;JT8G;J25C005100;980;;;;;;;;;;720,74;;
2025-02-04;JT8J;J25C005200;425;;;;;;;;;;623,49;;
2025-02-04;JT8M;J25C005400;100;;;;;;;;;;434,04;;
2025-02-04;JT8N;J25C005450;10;;;;;;;;;;388,82;;
2025-02-04;JT8Q;J25C005600;325;;;;;;;;;;263,56;;
2025-02-04;JT8R;J25C005700;100;;;;;;;;;;193,35;;
2025-02-04;JT8S;J25C005800;200;;;;;;;;;;137,01;;
2025-02-04;JT8X;J25C006050;;1;300;956625;63,78;63,78;63,78;63,78;63,78;;54,18;;
2025-02-04;JT8Y;J25C006100;500;;;;;;;;;;44,91;;
2025-02-04;JT91;J25C006300;300;;;;;;;;;;19,96;;
2025-02-04;JT99;J25C006750;1000;;;;;;;;;;2,24;;
2025-02-04;JTBK;J25C006125;800;;;;;;;;;;40,63;;
2025-02-04;JTBL;J25C006175;20;;;;;;;;;;33,19;;
2025-02-04;JTBQ;J25C008000;35;;;;;;;;;;0;;
2025-02-04;JV83;J26C007500;1350;;;;;;;;;;117,1;;
2025-02-04;JV87;J26C006200;140;;;;;;;;;;415,37;;
2025-02-04;JV8X;J26C005500;110;;;;;;;;;;810,8;;
2025-02-04;JV8Z;J26C005600;260;;;;;;;;;;743,3;;
2025-02-04;JV91;J26C005700;40;;;;;;;;;;678,89;;
2025-02-04;JV93;J26C005800;10;;;;;;;;;;617,43;;
2025-02-04;JV94;J26C005850;3100;;;;;;;;;;588,77;;
2025-02-04;JV95;J26C005900;1100;;;;;;;;;;561,01;;
2025-02-04;JV96;J26C005950;1200;;;;;;;;;;534,14;;
2025-02-04;JV97;J26C006000;2005;;;;;;;;;;508,38;;
2025-02-04;JV99;J26C006300;320;;;;;;;;;;375,41;;
2025-02-04;JV9C;J26C006500;500;;;;;;;;;;306,6;;
2025-02-04;KT84;K25C005050;20;;;;;;;;;;793,8;;
2025-02-04;KT8D;K25C005500;100;;;;;;;;;;384,29;;
2025-02-04;KT8L;K25C005800;40;;;;;;;;;;182,86;;
2025-02-04;KT8N;K25C005900;100;;;;;;;;;;137,1;;
2025-02-04;KT8P;K25C005950;300;;;;;;;;;;118,37;;
2025-02-04;KT8Q;K25C006000;365;1;750;4418250;117,82;117,82;117,82;117,82;117,82;;101,98;;
2025-02-04;KT8S;K25C006100;720;;;;;;;;;;76,77;;
2025-02-04;KT8V;K25C006200;105;;;;;;;;;;58,1;;
2025-02-04;KT8Z;K25C006400;375;;;;;;;;;;31,06;;
2025-02-04;KT91;K25C006500;40;;;;;;;;;;22,78;;
2025-02-04;KT92;K25C006550;135;;;;;;;;;;19,39;;
2025-02-04;KT93;K25C006600;270;1;200;189500;18,95;18,95;18,95;18,95;18,95;;16,38;;
2025-02-04;KT97;K25C006800;375;;;;;;;;;;8,16;;
2025-02-04;KT99;K25C006900;70;;;;;;;;;;5,51;;
2025-02-04;KT9F;K25C007100;1000;;;;;;;;;;2,48;;
2025-02-04;KTB0;K25C008000;15;;;;;;;;;;0,02;;
2025-02-04;MT88;M25C005000;20;;;;;;;;;;873,13;;
2025-02-04;MT8J;M25C005400;40;;;;;;;;;;510,14;;
2025-02-04;MT8M;M25C005550;365;;;;;;;;;;390,04;;
2025-02-04;MT8N;M25C005600;20;;;;;;;;;;353,07;;
2025-02-04;MT8P;M25C005650;100;;;;;;;;;;318,43;;
2025-02-04;MT8S;M25C005800;435;;;;;;;;;;229,41;;
2025-02-04;MT8T;M25C005850;100;;;;;;;;;;204,06;;
2025-02-04;MT8V;M25C005900;340;;;;;;;;;;180,97;;
2025-02-04;MT8X;M25C006000;10;;;;;;;;;;142,34;;
2025-02-04;MT8Y;M25C006050;5;;;;;;;;;;126,3;;
2025-02-04;MT91;M25C006200;10;;;;;;;;;;88,64;;
2025-02-04;MT92;M25C006250;5;;;;;;;;;;78,96;;
2025-02-04;MT93;M25C006300;1000;;;;;;;;;;70,3;;
2025-02-04;MT9F;M25C006800;500;;;;;;;;;;19,48;;
2025-02-04;NT8B;N25C005000;5020;;;;;;;;;;902,76;;
