Data;Série;Código;Contratos em Aberto;Negócios Realizados;Contratos Negociados;Volume;Preço de Abertura;Preço Mínimo;Preço Máximo;Preço Médio;Último Preço;Variação em Pontos;Prêmio de Referência;Última Oferta de Compra;Última Oferta de Venda
2025-02-03;FVD7;F26P006200;35;;;;;;;;;28134;;;
2025-02-03;FVDG;F26P004800;100;;;;;;;;;733;;;
2025-02-03;FVDJ;F26P004900;150;;;;;;;;;1064;;;
2025-02-03;FVDL;F26P005000;600;;;;;;;;;1511;;;
2025-02-03;FVDM;F26P005050;1,6;;;;;;;;;1783;;;
2025-02-03;FVDN;F26P005100;850;;;;;;;;;2095;;;
2025-02-03;FVDP;F26P005150;2,85;;;;;;;;;2449;;;
2025-02-03;FVDV;F26P005400;1,05;;;;;;;;;5017;;;
2025-02-03;FVDX;F26P005500;1,25;;;;;;;;;6503;;;
2025-02-03;FVF3;F26P005800;1,25;;;;;;;;;12975;;;
2025-02-03;FVF4;F26P005850;250;;;;;;;;;14488;;;
2025-02-03;FVF5;F26P005900;210;;;;;;;;;16125;;;
2025-02-03;FVF6;F26P005950;10;;;;;;;;;17852;;;
2025-02-03;FVF7;F26P006000;305;;;;;;;;;19684;;;
2025-02-03;FVFB;F26P006050;10;;;;;;;;;21624;;;
2025-02-03;FVFF;F26P006250;360;;;;;;;;;30488;;;
2025-02-03;FVFH;F26P006350;350;;;;;;;;;35556;;;
2025-02-03;FVFJ;F26P006400;240;;;;;;;;;38264;;;
2025-02-03;FWD3;F27P006000;1;;;;;;;;;16444;;;
2025-02-03;FWD4;F27P006500;595;;;;;;;;;31743;;;
2025-02-03;FWD5;F27P005000;200;;;;;;;;;2811;;;
2025-02-03;FWD9;F27P005800;100;;;;;;;;;12329;;;
2025-02-03;FWDD;F27P005500;200;;;;;;;;;7574;;;
2025-02-03;FWGQ;F27P006450;100;;;;;;;;;29932;;;
2025-02-03;FXDB;F28P006500;400;;;;;;;;;23094;;;
2025-02-03;FXDG;F28P008500;200;;;;;;;;;1,04567;;;
2025-02-03;FXDP;F28P007500;650;;;;;;;;;56511;;;
2025-02-03;FYD8;F29P006300;100;;;;;;;;;15385;;;
2025-02-03;FYDN;F29P008000;200;;;;;;;;;57868;;;
2025-02-03;FYDP;F29P008500;200;;;;;;;;;76986;;;
2025-02-03;GTD0;G25P004400;20;;;;;;;;;0;;;
2025-02-03;GTDB;G25P004900;200;;;;;;;;;0;;;
2025-02-03;GTDC;G25P004950;500;;;;;;;;;0;;;
2025-02-03;GTDD;G25P005000;80;;;;;;;;;0;;;
2025-02-03;GTDF;G25P005050;100;;;;;;;;;0;;;
2025-02-03;GTDG;G25P005100;625;;;;;;;;;0;;;
2025-02-03;GTDH;G25P005150;5;;;;;;;;;0;;;
2025-02-03;GTDK;G25P005250;250;;;;;;;;;0;;;
2025-02-03;GTDL;G25P005300;705;;;;;;;;;0;;;
2025-02-03;GTDN;G25P005400;2,17;;;;;;;;;0;;;
2025-02-03;GTDP;G25P005450;230;;;;;;;;;0;;;
2025-02-03;GTDQ;G25P005500;55;;;;;;;;;0;;;
2025-02-03;GTDT;G25P005650;75;;;;;;;;;0;;;
2025-02-03;GTDV;G25P005700;1,005;;;;;;;;;0;;;
2025-02-03;GTDW;G25P005750;535;;;;;;;;;0;;;
2025-02-03;GTDX;G25P005800;2,915;;;;;;;;;0;;;
2025-02-03;GTDY;G25P005850;5,54;;;;;;;;;1990;;;
2025-02-03;GTDZ;G25P005900;4,755;;;;;;;;;6990;;;
2025-02-03;GTF0;G25P005950;1,325;;;;;;;;;11990;;;
2025-02-03;GTF1;G25P006000;12,57;;;;;;;;;16990;;;
2025-02-03;GTF2;G25P006050;955;;;;;;;;;21990;;;
2025-02-03;GTF3;G25P006100;4,7;;;;;;;;;26990;;;
2025-02-03;GTF4;G25P006150;1,115;;;;;;;;;31990;;;
2025-02-03;GTF6;G25P006250;500;;;;;;;;;41990;;;
2025-02-03;GTFD;G25P005375;15;;;;;;;;;0;;;
2025-02-03;GTFQ;G25P005875;10;;;;;;;;;4490;;;
2025-02-03;GTFR;G25P005925;30;;;;;;;;;9490;;;
2025-02-03;GTFT;G25P006025;10;;;;;;;;;19490;;;
2025-02-03;GTFV;G25P006075;90;;;;;;;;;24490;;;
2025-02-03;GTFW;G25P006125;95;;;;;;;;;29490;;;
2025-02-03;GTFX;G25P006175;60;;;;;;;;;34490;;;
2025-02-03;GTG5;G25P006550;15;;;;;;;;;71990;;;
2025-02-03;HTD0;H25P005000;10;;;;;;;;;0;;;
2025-02-03;HTD2;H25P005100;70;;;;;;;;;1;;;
2025-02-03;HTD8;H25P005400;10;;;;;;;;;123;;;
2025-02-03;HTD9;H25P005450;370;;;;;;;;;237;;;
2025-02-03;HTDB;H25P005500;10;;;;;;;;;434;;;
2025-02-03;HTDD;H25P005600;10;;;;;;;;;1257;;;
2025-02-03;HTDG;H25P005700;250;;;;;;;;;3062;;;
2025-02-03;HTDH;H25P005800;2,2;;;;;;;;;6552;;;
2025-02-03;HTDJ;H25P005750;20;;;;;;;;;4580;;;
2025-02-03;HTF0;H25P004850;370;;;;;;;;;0;;;
2025-02-03;HTF3;H25P005850;1,51;;;;;;;;;8982;;;
2025-02-03;HTF4;H25P005900;1,555;;;;;;;;;11915;;;
2025-02-03;HTF5;H25P005950;60;;;;;;;;;15270;;;
2025-02-03;HTF6;H25P006000;1,115;;;;;;;;;18993;;;
2025-02-03;HTF8;H25P006100;1,02;;;;;;;;;27211;;;
2025-02-03;HTFL;H25P005875;245;;;;;;;;;10396;;;
2025-02-03;HTFP;H25P006025;30;;;;;;;;;20965;;;
2025-02-03;JTD0;J25P005000;175;;;;;;;;;9;;;
2025-02-03;JTD1;J25P005250;100;;;;;;;;;169;;;
2025-02-03;JTD2;J25P005500;40;;;;;;;;;1399;;;
2025-02-03;JTD9;J25P004500;205;;;;;;;;;0;;;
2025-02-03;JTDC;J25P004900;100;;;;;;;;;2;;;
2025-02-03;JTDD;J25P004950;450;;;;;;;;;5;;;
2025-02-03;JTDF;J25P005050;500;;;;;;;;;18;;;
2025-02-03;JTDG;J25P005100;400;;;;;;;;;33;;;
2025-02-03;JTDH;J25P005150;135;;;;;;;;;59;;;
2025-02-03;JTDK;J25P005300;1,85;;;;;;;;;273;;;
2025-02-03;JTDM;J25P005400;100;;;;;;;;;650;;;
2025-02-03;JTDN;J25P005450;200;;;;;;;;;965;;;
2025-02-03;JTDP;J25P005550;175;;;;;;;;;2000;;;
2025-02-03;JTDQ;J25P005600;30;;;;;;;;;2784;;;
2025-02-03;JTDR;J25P005700;110;;;;;;;;;5079;;;
2025-02-03;JTDS;J25P005800;10;;;;;;;;;8698;;;
2025-02-03;JTDT;J25P005850;400;;;;;;;;;10995;;;
2025-02-03;JTDV;J25P005900;95;;;;;;;;;13622;;;
2025-02-03;JVDK;J26P004950;100;;;;;;;;;1515;;;
2025-02-03;JVDN;J26P005100;3,3;;;;;;;;;2370;;;
2025-02-03;JVDP;J26P005150;3,2;;;;;;;;;2722;;;
2025-02-03;JVDQ;J26P005200;1,4;;;;;;;;;3124;;;
2025-02-03;JVDS;J26P005300;3,6;;;;;;;;;4057;;;
2025-02-03;JVDV;J26P005400;1,085;;;;;;;;;5215;;;
2025-02-03;JVDW;J26P005450;120;;;;;;;;;5874;;;
2025-02-03;JVDX;J26P005500;120;;;;;;;;;6606;;;
2025-02-03;JVF3;J26P005800;200;;;;;;;;;12433;;;
2025-02-03;JVFB;J26P006400;500;;;;;;;;;34701;;;
2025-02-03;JWDL;J27P006150;10;;;;;;;;;15663;;;
2025-02-03;KTD1;K25P004900;300;;;;;;;;;23;;;
2025-02-03;KTD4;K25P005050;160;;;;;;;;;99;;;
2025-02-03;KTD6;K25P005200;100;;;;;;;;;339;;;
2025-02-03;KTD7;K25P005250;100;;;;;;;;;491;;;
2025-02-03;KTDC;K25P005450;300;;;;;;;;;1794;;;
2025-02-03;KTDD;K25P005500;120;;;;;;;;;2401;;;
2025-02-03;KTDG;K25P005600;135;;;;;;;;;4096;;;
2025-02-03;KTDH;K25P005650;100;;;;;;;;;5229;;;
2025-02-03;KTDK;K25P005750;55;;;;;;;;;8316;;;
2025-02-03;KTDP;K25P005950;40;;;;;;;;;17636;;;
2025-02-03;KTDR;K25P006050;50;;;;;;;;;23842;;;
2025-02-03;KTDS;K25P006100;65;;;;;;;;;27325;;;
2025-02-03;KTG9;K25P004400;205;;;;;;;;;0;;;
2025-02-03;MTD1;M25P004650;435;;;;;;;;;8;;;
2025-02-03;MTD8;M25P005000;20;;;;;;;;;174;;;
2025-02-03;MTDB;M25P005100;435;;;;;;;;;347;;;
2025-02-03;MTDC;M25P005150;410;;;;;;;;;480;;;
2025-02-03;MTDD;M25P005200;200;;;;;;;;;654;;;
2025-02-03;MTDJ;M25P005400;330;;;;;;;;;1975;;;
2025-02-03;MTDK;M25P005450;140;;;;;;;;;2541;;;
2025-02-03;MTDN;M25P005600;20;;;;;;;;;5042;;;
2025-02-03;MTDP;M25P005650;120;;;;;;;;;6183;;;
2025-02-03;MTDQ;M25P005700;255;;;;;;;;;7578;;;
2025-02-03;MTDR;M25P005750;5;;;;;;;;;9217;;;
2025-02-03;MTDY;M25P006050;40;;;;;;;;;23749;;;
2025-02-03;NTD6;N25P004800;8;;;;;;;;;84;;;
2025-02-03;NTD8;N25P004900;5,38;;;;;;;;;171;;;
2025-02-03;NTDB;N25P005000;7,45;;;;;;;;;325;;;
2025-02-03;NTDF;N25P005100;21,15;;;;;;;;;583;;;
2025-02-03;NTDG;N25P005150;110;;;;;;;;;769;;;
2025-02-03;NTDH;N25P005200;315;;;;;;;;;1003;;;
2025-02-03;NTDK;N25P005250;5,665;;;;;;;;;1290;;;
2025-02-03;NTDL;N25P005300;5,02;;;;;;;;;1637;;;
2025-02-03;NTDM;N25P005350;65;;;;;;;;;2064;;;
2025-02-03;NTDN;N25P005400;13,1;;;;;;;;;2577;;;
2025-02-03;NTDP;N25P005450;5,255;;;;;;;;;3204;;;
2025-02-03;NTDQ;N25P005500;6,8;;;;;;;;;3935;;;
2025-02-03;NTDR;N25P006000;50;;;;;;;;;20766;;;
2025-02-03;NTDT;N25P006100;105;;;;;;;;;26583;;;
2025-02-03;NTF2;N25P005600;473;;;;;;;;;5788;;;
2025-02-03;NTF3;N25P005700;2,555;;;;;;;;;8295;;;
2025-02-03;NTF4;N25P005800;2,58;;;;;;;;;11776;;;
2025-02-03;NTF5;N25P005900;105;;;;;;;;;15932;;;
2025-02-03;NTF8;N25P005550;40;;;;;;;;;4789;;;
2025-02-03;NTF9;N25P005650;1,25;;;;;;;;;6923;;;
2025-02-03;NTFB;N25P005750;70;;;;;;;;;9941;;;
2025-02-03;NTFF;N25P006150;175;;;;;;;;;29759;;;
2025-02-03;NTFG;N25P006200;660;;;;;;;;;33095;;;
2025-02-03;NTFH;N25P006250;10;;;;;;;;;36564;;;
2025-02-03;NVD2;N26P006000;5,485;;;;;;;;;17587;;;
2025-02-03;NVD5;N26P004900;200;;;;;;;;;1563;;;
2025-02-03;NVDD;N26P005300;70;;;;;;;;;4365;;;
2025-02-03;NVDH;N26P005450;155;;;;;;;;;6151;;;
2025-02-03;NVDJ;N26P005500;400;;;;;;;;;6847;;;
2025-02-03;NVDL;N26P005600;5;;;;;;;;;8441;;;
2025-02-03;NVDM;N26P005650;80;;;;;;;;;9314;;;
2025-02-03;NVDN;N26P005700;5;;;;;;;;;10267;;;
2025-02-03;NVDP;N26P005750;960;;;;;;;;;11285;;;
2025-02-03;NVDQ;N26P005800;70;;;;;;;;;12352;;;
2025-02-03;NVDS;N26P005900;5;;;;;;;;;14730;;;
2025-02-03;NVDW;N26P006200;5,095;;;;;;;;;24383;;;
2025-02-03;NVDX;N26P006300;5,6;;;;;;;;;28255;;;
2025-02-03;NVF2;N26P006600;5;;;;;;;;;41340;;;
2025-02-03;QTD1;Q25P005550;270;;;;;;;;;5315;;;
2025-02-03;QTD3;Q25P005650;270;;;;;;;;;7439;;;
2025-02-03;QTD4;Q25P005700;10;;;;;;;;;8725;;;
2025-02-03;QTD5;Q25P005750;5;;;;;;;;;10320;;;
2025-02-03;QTD6;Q25P005800;60;;;;;;;;;12085;;;
2025-02-03;QTDD;Q25P006100;205;;;;;;;;;25846;;;
2025-02-03;QTFL;Q25P005400;20;;;;;;;;;3038;;;
2025-02-03;QTFM;Q25P005450;70;;;;;;;;;3690;;;
2025-02-03;UTD8;U25P004900;100;;;;;;;;;402;;;
2025-02-03;UTDH;U25P005250;100;;;;;;;;;1979;;;
2025-02-03;UTDM;U25P005450;200;;;;;;;;;4185;;;
2025-02-03;UTDP;U25P005550;100;;;;;;;;;5861;;;
2025-02-03;UTDQ;U25P005600;100;;;;;;;;;6859;;;
2025-02-03;UTDR;U25P005650;100;;;;;;;;;7988;;;
2025-02-03;UTDT;U25P005750;5;;;;;;;;;10731;;;
2025-02-03;VTD1;V25P005650;10,44;;;;;;;;;8544;;;
2025-02-03;VTD2;V25P005700;5,1;;;;;;;;;9777;;;
2025-02-03;VTD3;V25P005750;5;;;;;;;;;11190;;;
2025-02-03;VTD4;V25P005800;700;;;;;;;;;12777;;;
2025-02-03;VTD5;V25P005850;5;;;;;;;;;14499;;;
2025-02-03;VTD6;V25P005900;85;;;;;;;;;16355;;;
2025-02-03;VTD7;V25P005950;5;;;;;;;;;18345;;;
2025-02-03;VTD8;V25P006000;6,5;;;;;;;;;20470;;;
2025-02-03;VTDD;V25P006200;300;;;;;;;;;30298;;;
2025-02-03;VTDP;V25P005000;2,7;;;;;;;;;901;;;
2025-02-03;VTDQ;V25P005050;5,2;;;;;;;;;1111;;;
2025-02-03;VTDR;V25P005100;5,25;;;;;;;;;1360;;;
2025-02-03;VTDS;V25P005150;1,45;;;;;;;;;1653;;;
2025-02-03;VTDT;V25P005200;5,78;;;;;;;;;1996;;;
2025-02-03;VTDV;V25P005250;1,05;;;;;;;;;2396;;;
2025-02-03;VTDX;V25P005350;1,5;;;;;;;;;3394;;;
2025-02-03;VTDY;V25P005400;5,385;;;;;;;;;4026;;;
2025-02-03;VTDZ;V25P005450;2,2;;;;;;;;;4734;;;
2025-02-03;VTF0;V25P005500;5,28;;;;;;;;;5532;;;
2025-02-03;VTF3;V25P004800;100;;;;;;;;;358;;;
2025-02-03;VTF5;V25P004900;585;;;;;;;;;577;;;
2025-02-03;VTF6;V25P004950;1;;;;;;;;;722;;;
2025-02-03;VTF8;V25P006300;400;;;;;;;;;36140;;;
2025-02-03;VVD0;V26P005000;40;;;;;;;;;2374;;;
2025-02-03;VVD4;V26P005400;50;;;;;;;;;5741;;;
2025-02-03;VVD5;V26P005500;100;;;;;;;;;7028;;;
2025-02-03;VVD7;V26P005700;460;;;;;;;;;10193;;;
2025-02-03;VVDB;V26P006000;1;;;;;;;;;16639;;;
2025-02-03;VVDD;V26P006200;2,1;;;;;;;;;22715;;;
